City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,62.13,65,59,21.65,ZA,11/26/2024
1,George Town,5.4112,100.3354,78.73,88,40,5.99,MY,11/26/2024
2,Kapuskasing,49.4169,-82.4331,30.29,100,100,4.61,CA,11/26/2024
3,Port Elizabeth,-33.918,25.5701,68.29,75,0,13.8,ZA,11/26/2024
4,Juneau,58.3019,-134.4197,32.0,95,100,8.05,US,11/26/2024
5,Ikovka,55.6089,64.9375,17.47,93,5,2.39,RU,11/26/2024
6,Haiku-Pauwela,20.9219,-156.3051,67.21,88,20,8.99,US,11/26/2024
7,Vernon,50.2581,-119.2691,31.75,82,87,3.0,CA,11/26/2024
8,Naryan-Mar,67.6713,53.087,34.81,99,100,22.86,RU,11/26/2024
9,Videira,-27.0083,-51.1517,80.64,50,92,2.13,BR,11/26/2024
10,Viedma,-40.8135,-62.9967,75.51,20,75,20.92,AR,11/26/2024
11,Waitangi,-43.9535,-176.5597,53.82,87,100,8.99,NZ,11/26/2024
12,Edinburgh of the Seven Seas,-37.0676,-12.3116,57.2,95,100,32.93,SH,11/26/2024
13,Puerto Ayora,-0.7393,-90.3518,73.54,87,53,5.99,EC,11/26/2024
14,Constanța,44.1833,28.65,36.7,68,10,3.44,RO,11/26/2024
15,Hamilton,39.1834,-84.5333,44.76,67,0,10.36,US,11/26/2024
16,Charlestown,-32.95,151.6667,72.68,86,51,1.99,AU,11/26/2024
17,Port-aux-Français,-49.35,70.2167,37.53,79,30,38.03,TF,11/26/2024
18,Margaret River,-33.95,115.0667,48.2,87,36,6.51,AU,11/26/2024
19,Palmares do Sul,-30.2578,-50.5097,74.23,83,100,3.69,BR,11/26/2024
20,Anadyr,64.75,177.4833,19.9,86,100,4.47,RU,11/26/2024
21,Ponta Delgada,37.7333,-25.6667,68.72,94,40,11.5,PT,11/26/2024
